"Zeitstempel","This course was fun to do.","I enjoyed doing this course very much.","This course did not hold my attention at all.","I thought this course was quite enjoyable.","I would describe this course as very interesting.","I thought this was a boring course.","While I was doing this course, I was thinking about how much I enjoyed it.","The format of regular short updates (""weeklies"") ... [... was too stressful.]","The format of regular short updates (""weeklies"") ... [... was too much work.]","The format of regular short updates (""weeklies"") ... [... helped me to organize my workload.]","The format of regular short updates (""weeklies"") ... [... motivated me to engage with the tutors.]","The format of regular short updates (""weeklies"") ... [... motivated me to engage with other students.]","The format of regular short updates (""weeklies"") ... [... helped me to get a better grade.]","I think less frequent updates would have been better.","The weekly practical experience in the room (installing hardware, building puzzles, etc. before integration runs) was important to me.","I found the weekly ""integration runs"" (testing the current status) useful.","The weekly connection with my colleagues was important to me.","Overall I liked the course format.","What did you particularly like about the course format?","What should be changed about the course format?","I was happy with the following aspects of the escape room ... [... the predetermined storyline.]","I was happy with the following aspects of the escape room ... [... the location of the room on campus.]","I was happy with the following aspects of the escape room ... [... the composition of the rooms.]","I was happy with the following aspects of the escape room ... [... the provided possibilities to implement my ideas.]","The course theme of building an escape room was interesting.","I had a higher motivation to engage in the course because of the escape room theme.","Because of its unique topic, I feel like I took more information with me than in other courses.","Overall I liked the escape room course theme.","What did you particularly like about the escape room theme?","Is there anything you would change about the escape room theme?","If you have any ideas for a different escape room theme, story line, or even specific puzzles that you would like to have implemented, you can let us know here or get in contact with us directly!","I have learned a lot in this course.","I can apply my acquired knowledge to various tasks (in the future).","I have improved my skills in scientific problem solving.","The explanations and support from the tutors were sufficient and comprehensible.","There was always a tutor available when I needed support.","The tutors were able to help me engage with the course.","The design of the course contributed to my understanding of Embedded Systems.","The group size was good for this event.","The course workload was manageable.","Overall the course was good.","What did you particularly like about this course?","Where do you see potential for improvement for this course?"
"2020/08/06 12:05:11 PM MEZ","6","7","1","6","7","1","4","2","2","6","6","6","5","2","5","3","5","7","That everything was possible. Our solutions were free to choose and not preselected. also the integration from idea to the finished product was cool","The weekly integration run was in the beginning sometimes a little ""boring"" when there was no big progress. Maybe the run in the beginning only every 2 weeks and instead a ""go-through"" with all","6","Neutral","5","Strongly Agree","7","7","7","7","That you have to think how to make your riddle difficult but also intuitive. it was important to think about how other ppl may think","maybe a more ""escape"" than a break in, steal it. ","Story line: Maybe a real break out? So that the ppl start in the innerst room and have to break out","7","7","7","7","7","7","7","7","7","7","",""
"2020/08/06 1:20:52 PM MEZ","7","7","1","7","7","1","7","3","6","Neutral","Neutral","5","Neutral","3","7","7","6","7","Feedback","Slack","Neutral","3","Neutral","Strongly Agree","7","7","5","7","Path from concept to actual device.","no","","6","5","5","6","7","7","5","7","7","7","Fabrication",""
"2020/08/06 1:26:49 PM MEZ","7","7","1","6","7","1","6","6","5","Strongly Agree","Strongly Agree","Neutral","Neutral","4","7","7","4","7","Doing something on a small group and then integrating it into a ""bigger system"".","Give more feedback on how the grades are made; maybe give some grades every few weeks to make it clearer and give more opportunity to improve.","5","Strongly Agree","Strongly Agree","Strongly Agree","7","6","5","7","","No","do something with motion tracking; play small games on computers;","7","7","7","6","6","6","7","6","5","7","",""
"2020/08/06 1:43:55 PM MEZ","7","7","1","7","7","1","6","3","3","5","3","6","Neutral","1","6","6","6","7","The general task of building an escape room.","I think a more specific road map would have been helpful.","5","6","6","Strongly Agree","7","7","5","7","Unique, interesting and realistic application of learned skills.","","","6","6","5","6","7","7","7","7","5","7","",""
"2020/08/06 2:55:05 PM MEZ","7","7","1","5","6","2","5","Neutral","Neutral","Neutral","5","5","5","3","7","5","7","6","The creative ""freedom""","","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","4","4","7","Having an ""evil"" system to defeat (that at the same time can mess with you","","","7","7","7","5","7","5","6","7","6","7","It wad something different and practical! Building from scratch",""
"2020/08/06 4:12:36 PM MEZ","7","7","1","7","7","1","7","Neutral","Neutral","3","6","Strongly Agree","5","4","7","7","7","7","","","Strongly Agree","3","3","6","4","4","4","4","","","I would like to see the Scariest Horror Story with lots of mechanical screamers and feel of mystery with tons of hidden electronics","7","7","7","7","7","7","7","7","7","7","",""
"2020/08/06 4:14:51 PM MEZ","7","6","1","6","7","1","6","Neutral","Strongly Disagree","6","6","6","Neutral","3","6","7","7","7","Hands on experience
Feld like working (in small format)","","Strongly Agree","6","6","5","7","7","7","7","Escape room for engineers","","","6","6","6","4","6","6","6","7","4","7","",""
"2020/08/06 4:43:31 PM MEZ","7","7","1","7","7","1","7","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","1","7","7","7","7","","","Neutral","Neutral","6","Strongly Agree","7","7","7","7","","","","5","7","3","7","7","7","6","7","7","7","",""
"2020/08/08 2:30:34 PM MEZ","6","6","2","6","6","3","4","2","2","Neutral","Neutral","Neutral","Neutral","2","6","7","4","6","","","5","5","Neutral","Neutral","6","5","5","6","","","","5","5","5","4","5","5","6","4","6","6","",""
"2020/08/09 12:54:49 PM MEZ","7","7","1","7","7","1","6","2","2","Strongly Agree","6","Strongly Agree","5","2","7","6","7","7","Working towards a practice-oriented common goal.","The integration of an intermediate target with feedback (graded?) could be helpful.","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","5","6","7","The multiple possibilities to implement a solution.","","","7","6","7","7","7","7","7","6","7","7","Many tutors; very much flexibility","A baseline to integrate the own project into the overall project."
